"TargetModule","Coverage"
"path_sum","0.16279069767441862"
"max_path_sum","1.0"
"same_tree","0.6923076923076923"
"tree","1.0"
"invert_tree","0.42857142857142855"
"is_balanced","0.5555555555555556"
"binary_tree_paths","0.2727272727272727"
"pretty_print","1.0"
"b_tree","0.8709677419354839"
"is_symmetric","0.3870967741935484"
"is_subtree","0.5263157894736842"
"max_height","0.6111111111111112"
"min_height","0.34615384615384615"
"construct_tree_postorder_preorder","0.8888888888888888"
"lowest_common_ancestor","0.23076923076923078"
"path_sum2","0.15555555555555556"
"longest_consecutive","0.7142857142857143"
"fenwick_tree","1.0"
"segment_tree","0.7307692307692307"
"iterative_segment_tree","0.8695652173913043"
"add_and_search","0.7906976744186046"
"trie","1.0"
"inorder","0.6923076923076923"
"level_order","0.38461538461538464"
"postorder","0.9047619047619048"
"zigzag","0.38461538461538464"
"preorder","0.9411764705882353"
"red_black_tree","0.582089552238806"
"kth_smallest","0.9090909090909091"
"serialize_deserialize","1.0"
"path_sum","0.16279069767441862"
"max_path_sum","1.0"
"same_tree","0.6923076923076923"
"tree","1.0"
"invert_tree","0.42857142857142855"
"is_balanced","0.5555555555555556"
"binary_tree_paths","0.2727272727272727"
"pretty_print","1.0"
"b_tree","0.9139784946236559"
"is_symmetric","0.3870967741935484"
"is_subtree","0.5263157894736842"
"max_height","0.6111111111111112"
"min_height","0.34615384615384615"
"construct_tree_postorder_preorder","0.8888888888888888"
"lowest_common_ancestor","0.23076923076923078"
"path_sum2","0.15555555555555556"
"longest_consecutive","0.7142857142857143"
"fenwick_tree","1.0"
"segment_tree","0.7307692307692307"
"iterative_segment_tree","0.8695652173913043"
"add_and_search","0.7209302325581395"
"trie","1.0"
"inorder","0.6923076923076923"
"level_order","0.38461538461538464"
"postorder","0.9047619047619048"
"zigzag","0.38461538461538464"
"preorder","0.9411764705882353"
"red_black_tree","0.753731343283582"
"kth_smallest","0.9090909090909091"
"serialize_deserialize","1.0"
"predecessor","0.42857142857142855"
"array_to_bst","1.0"
"successor","0.42857142857142855"
"bst_closest_value","0.16666666666666666"
"BSTIterator","0.38461538461538464"
"is_bst","0.29411764705882354"
"breaking_bad","0.9791666666666666"
"license_number","1.0"
"check_pangram","0.8"
"strong_password","1.0"
"delete_reoccurring","1.0"
"strip_url_params","0.9272727272727272"
"repeat_substring","1.0"
"reverse_string","1.0"
"panagram","1.0"
"reverse_words","0.8571428571428571"
"roman_to_int","0.8333333333333334"
"is_rotated","1.0"
"caesar_cipher","1.0"
"is_palindrome","0.1111111111111111"
"fizzbuzz","0.95"
"encode_decode","1.0"
"text_justification","0.8709677419354839"
"domain_extractor","1.0"
"judge_circle","1.0"
"rabin_karp","1.0"
"int_to_roman","1.0"
"knuth_morris_pratt","1.0"
"atbash_cipher","1.0"
"word_squares","1.0"
"longest_common_prefix","1.0"
