commit_hash,conf_HIGH,conf_MEDIUM,conf_LOW,sev_HIGH,sev_MEDIUM,sev_LOW,unique_CWEs
5d3f7308240042c28ac9e7ee9f99cd1a02d792ec,63,1,0,4,5,55,6
66862db9b26b1cfe9543267293d231aae10ace23,63,1,0,4,5,55,6
5a70d67b98e9b2d353d0721d95b034ffaab29a89,63,1,0,4,5,55,6
94f6f0aa963a9aa61126789101f4e15321fd3097,63,1,0,0,5,59,6
6196daa5ec49546a8d973b6866991586f98d0d56,63,1,0,0,5,59,6
49c2b5cfe03aacf1bcee7797710e94f825cf8662,63,1,0,0,5,59,6
53b6c34ebec5a9c5478548ceb72adb5eec96b1da,63,1,0,0,5,59,6
33c7f6d063e20eedad2cafbf9df6233b1c6f6370,63,1,0,0,5,59,6
2e49c60148b492c1d7a0f5ef1562bef03de25e28,63,1,0,0,5,59,6
dd251ab8c2fa3e387064402261b00dbc588216bc,63,1,0,0,5,59,6
d357e21c1d7fb4c8fb97f8bc885790dc0da254f5,63,1,0,0,5,59,6
dd0aa14442517fab904deaedde5ec14ba4a7551a,63,1,0,0,5,59,6
fadd045fc1e3d41f0be8b8501f8f5fb44ec8ae3c,64,1,0,0,6,59,6
e270f5c3d3cb545f1721533241ae1859d418f663,64,1,0,0,6,59,6
90dfb02cc668e3ad3df6ca7f975e83be75007520,64,1,0,0,6,59,6
09c27a654f6382be70bc152de7d9435d3c6db989,64,1,0,0,6,59,6
0ef12ad7e469b085e59e476bdd1deced07db4fb5,64,1,0,0,6,59,6
df1e067480df9c4302ed0602fe36948ee563a785,63,1,0,0,5,59,6
5fa99b772398aaad527ba11c4418f9ffcada4871,64,1,0,0,6,59,6
89bf0b129732726e7eea433f96b0b1a272e2c794,64,1,0,0,6,59,6
14c6fdc1d9941044d7bc100f1b4fd1d581e2011a,64,1,0,0,6,59,6
0692afdfec648ee6889bdadc6beeb4cff10d7fa3,64,1,0,0,6,59,6
ea3f77e3f1a14456fa2e182411449bdf75e035ab,64,1,0,0,6,59,6
636fb3a45b4726ca308043a665b60f4e9efc5e2d,64,1,0,0,6,59,6
40b5c7c1c126f33e346514fd6616b8b24cb05c10,64,1,0,0,6,59,6
cb3e115a6c7780de1a0f4e559bc71a1ba9d1ca24,64,1,0,0,6,59,6
